TimesheetTaskID,TimesheetID,CustomerID,CustomerName,JobsiteID,Jobsite_Code,Jobsite,Address,StartDate,StartTime,EndDate,EndTime,TaskName,CostCode,Foreman,Service_Activity,Est Total Visits,Timesheet Qty,Invoice Type,Unit Cost,Unit Price,Total Price,Invoiced,InvoiceID,InvoiceItemID,Invoice_Num,Invoice Date,Invoice Qty,Invoice Rate,Invoice Price
119292013,25732520,1309848,*Maintenance Sample,5440055,5440055W,TEST001,", Bozeman, Montana",2026-01-05,11:49 AM,2026-01-05,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119292013,25732520,1309848,*Maintenance Sample,5440055,5440055W,TEST001,", Bozeman, Montana",2026-01-05,11:49 AM,2026-01-05,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Deer Spray,0,15,Per App (Fixed Price),$2.00,$5.00,$75.00,N,,,,,0,$0.00,$0.00
119292013,25732520,1309848,*Maintenance Sample,5440055,5440055W,TEST001,", Bozeman, Montana",2026-01-05,11:49 AM,2026-01-05,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,2,Per Unit,$22.00,$42.00,$84.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Deer Spray,0,5,Per App (Fixed Price),$2.00,$5.00,$25.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Fertilizer [Bags],0,8,Per Unit,$55.00,$0.00,$0.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,1,Per App (Fixed Price),$0.00,$55.00,$55.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,1,Per Unit,$22.00,$42.00,$42.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",2026-01-05,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Spray weeds [Gallons],0,5,Per App (Variable Price),$7.00,$14.00,$70.00,N,,,,,0,$0.00,$0.00
119292554,25732520,1309848,*Maintenance Sample,5525263,5525263W,TEST003,", Bozeman, Montana",2026-01-05,7:00 PM,2026-01-05,9:01 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
